tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
DJ Khaled,Father Of Asahd,Celebrate (feat. Travis Scott & Post Malone),spotify:track:0b6UoVjUzFyZNpHI0aAhKt,,,,,,
YoungBoy Never Broke Again,GG (feat. A Boogie wit da Hoodie) [Remix],GG (feat. A Boogie wit da Hoodie) - Remix,spotify:track:2AxNJr4Q7e1b91wAtA7VKu,,,,,,
"Tyler, The Creator",IGOR,A BOY IS A GUN*,spotify:track:1nXZnTALNXiPlvXotqHm66,,,,,,
Tee Grizzley,My Moment,Country,spotify:track:3eQPJYfhgcW3T1ypwIZN7n,,,,,,
YSN Flow,Want Beef?,Want Beef?,spotify:track:0G1HcY6dlx8yjJBMCO9rOc,,,,,,
POORSTACY,make up,make up,spotify:track:7bJSEMDbVDb5OZU85wpPkw,,,,,,
Polo G,THE GOAT,Don't Believe The Hype,spotify:track:3TciLI5wo7RddPtAFhiU9V,,,,,,
Playboi Carti,Die Lit,Foreign,spotify:track:500l6Cwe40hkPqS7Sf7ufY,,,,,,
A$AP Mob,"Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)","Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)",spotify:track:7v4IH24PwiatPXhrH5e4Qd,,,,,,
redveil,Niagara,Weight,spotify:track:5sdkS8DXx8rXNLxbSos8GS,,,,,,
Juice WRLD,Smile (with The Weeknd),Smile (with The Weeknd),spotify:track:1EIsJed40cd7Bcv8SXVdqA,,,,,,
JACKBOYS,JACKBOYS,GANG GANG,spotify:track:6uJONCdr2rC65BNmCnTBWK,,,,,,
K CAMP,Wayy 2 Kritical,Lottery (Renegade),spotify:track:4dZTZbmJBCCofAExHwefda,,,,,,
T9ine,Fast Life Living,Check On Me (feat. Polo G),spotify:track:1KBf6uk90y4h4byT2Gzyhq,,,,,,
The Weeknd,Kiss Land,Wanderlust,spotify:track:6V9TlCdwLeQes4FX5zxz3f,,,,,,
Alec Benjamin,These Two Windows,Mind Is A Prison,spotify:track:2hGQDYmjkwTS0J7Q2bM2sF,,,,,,
No Savage,Life of a Savage,Dirty 38,spotify:track:4APaDHUXIW8BNMRy2R4zQW,,,,,,
iann dior,Strings,Strings,spotify:track:3gzvOfEsblYOVK3xDXodCP,,,,,,
J. Cole,4 Your Eyez Only,Neighbors,spotify:track:0utlOiJy2weVl9WTkcEWHy,,,,,,
A Boogie Wit da Hoodie,Hoodie SZN,Pull Up (feat. NAV),spotify:track:76vviJBqmRdMMb9u9npgfj,,,,,,
